term_id,term
206-prefLabel,Science
207-prefLabel,Art works
208-altLabel,Paintings
208-prefLabel,Drawings and paintings
209-prefLabel,Sculpture
210-prefLabel,Jewish artists
211-prefLabel,Museums
212-prefLabel,Supervision over art
213-prefLabel,Jewish intellectuals
214-prefLabel,Literature
215-prefLabel,Music
216-prefLabel,Nazi art
217-altLabel,Theater
217-prefLabel,Theatre
218-prefLabel,Visual arts
219-prefLabel,Aryan
220-prefLabel,Racial purity
221-prefLabel,Aryan documents (getting of)
222-prefLabel,Concealment of Jewish origin
223-altLabel,Nationalization
223-prefLabel,Nationalisation (bringing under state ownership)
224-prefLabel,Confiscation of property
226-altLabel,Treuhaender
226-prefLabel,Treuhänder
227-prefLabel,Treuhandstellen and treuhandgesellschaften
229-altLabel,Asocials
229-prefLabel,Asoziale
230-prefLabel,Assassination attempts
231-prefLabel,Attacks
232-prefLabel,Sexual abuses
233-prefLabel,Attitude of the local population
234-prefLabel,Attitude toward refugees
235-prefLabel,Policies
236-prefLabel,Public opinion
237-prefLabel,Attitude toward the jews
238-prefLabel,Auxiliary police
239-prefLabel,Police
240-prefLabel,Blitzkrieg
241-prefLabel,German realm
242-prefLabel,Babies
244-prefLabel,Bank accounts
245-prefLabel,Banks
246-altLabel,Economic organizations
246-prefLabel,Economic organisations
247-prefLabel,Finance
248-prefLabel,Jewish owned banks
249-prefLabel,Baptism
250-prefLabel,Religious commandments and customs
251-prefLabel,Barter
252-prefLabel,Economic life
255-altLabel,BdO
255-prefLabel,Befehlshaber der Ordnungspolizei
256-altLabel,HSSPF
256-prefLabel,Höhere SS- und Polizeiführer
257-altLabel,BdS
257-prefLabel,Befehlshaber der Sicherheitspolizei und der SD
258-prefLabel,Begging
259-prefLabel,Belief
260-prefLabel,Feelings and thoughts
261-prefLabel,Berufsverbot
262-prefLabel,Dismissal from work
263-prefLabel,Prohibitions and bans
264-prefLabel,Betrayal
265-prefLabel,Birth certificates
266-prefLabel,Personal documentation
267-prefLabel,Black market
268-prefLabel,Blind people
269-prefLabel,Disabled people
272-altLabel,Blood and soil
272-prefLabel,Blut und Boden
273-prefLabel,Nazi ideology
274-prefLabel,Bombs
275-prefLabel,Combat
276-altLabel,Burning of books
276-prefLabel,Book burning
277-prefLabel,Persecution of jews
279-prefLabel,Books
280-prefLabel,"Testimonies, biographies"
281-prefLabel,Diaries
282-prefLabel,Border smuggling
283-prefLabel,Illegal border crossing
284-prefLabel,Bribery
285-prefLabel,Corruption
286-prefLabel,Brothel
287-prefLabel,Sexual activities
288-prefLabel,Bulgarian occupation
289-prefLabel,Occupation
290-prefLabel,Burials
291-prefLabel,Funerals
292-prefLabel,Family life
293-prefLabel,Cemeteries
294-prefLabel,Jewish burials
297-prefLabel,Business permits
298-prefLabel,Commercial companies
299-prefLabel,Businesses
300-prefLabel,Jewish owned businesses
301-prefLabel,Bystanders
302-prefLabel,Camouflage
304-prefLabel,Camp and ghetto personnel
305-prefLabel,Medical personnel
306-prefLabel,Camps
307-prefLabel,Ghettos
308-prefLabel,Female overseers
309-altLabel,Camp administration
309-prefLabel,Lagerkommandantur
310-prefLabel,Male overseers
311-altLabel,Camp guards
311-prefLabel,Wachmaenner (camp guards)
313-prefLabel,Camp hospitals
314-prefLabel,Medicine
315-prefLabel,Camp life
316-prefLabel,Medical experiments
317-altLabel,Camp prisoners
317-prefLabel,Camp inmates
320-altLabel,Inmates in positions of authority
320-prefLabel,Prisoner functionaries
321-prefLabel,Food and eating
322-prefLabel,Epidemics
323-prefLabel,Campaigns and battles
324-prefLabel,Cover up of traces of murder
325-prefLabel,Uprisings
326-prefLabel,"Forced labour, deportation, ghettos, camps and final solution camps"
327-prefLabel,Concentration camps
328-altLabel,Crematories
328-prefLabel,Crematoria
329-altLabel,Extermination camps
329-prefLabel,Death camps
330-altLabel,Detention camps
330-prefLabel,Internment camps
331-altLabel,Labor camps
331-prefLabel,Labour camps
332-prefLabel,Men's camps
333-prefLabel,Penal camps
334-altLabel,Releases from Camps
334-prefLabel,Release from camps
335-prefLabel,Selection
336-prefLabel,Sinti and roma in camps
337-prefLabel,Transit camps
338-prefLabel,Women's camps
339-prefLabel,Cartographic materials
340-prefLabel,Cartoons
342-prefLabel,Graves
343-prefLabel,Jewish cemeteries
344-prefLabel,Censorship
346-altLabel,CdZ
346-prefLabel,Chef der Zivilverwaltung
347-prefLabel,Occupation authorities
348-prefLabel,Gouverneur des Distrikts
350-prefLabel,Orphans
351-prefLabel,Children's homes
352-prefLabel,Orphanages
353-prefLabel,Christian holidays
354-prefLabel,Christianity
355-prefLabel,Holidays
356-prefLabel,Christian identity
358-prefLabel,Church (institution)
359-prefLabel,Conversion to christianity
360-prefLabel,Christians of Jewish origin
361-prefLabel,Converts to christianity
