term_id,term
920-prefLabel,Nazi symbols
921-prefLabel,National socialist parties
923-prefLabel,Nationalist movements and organisations
924-prefLabel,Nationalist parties
925-prefLabel,Nazi era
926-prefLabel,Periods
928-prefLabel,Reichskommissariat
929-prefLabel,Reichsprotektorat
930-prefLabel,Nazi parties
932-prefLabel,Swastika
938-prefLabel,Occupied countries
939-prefLabel,Population exchanges
940-prefLabel,Romanian occupation
941-prefLabel,Territorial annexations
943-prefLabel,Occupation authority regulations
944-altLabel,Organisations - Closing and disbanding
944-altLabel,Organizations' closures
944-prefLabel,Organisation closures
945-prefLabel,Restrictions
946-altLabel,Theft of property
946-prefLabel,Robbery of property
947-altLabel,Gypsies
947-prefLabel,Sinti and roma
948-prefLabel,Threats
949-altLabel,Old-age home
949-prefLabel,Old people's home
951-prefLabel,Opponents
952-prefLabel,Opposition
953-prefLabel,Ordnungsdienst
956-altLabel,Paramilitary organizations
956-prefLabel,Paramilitary organisations
957-prefLabel,Public institutions
958-altLabel,Refugee organizations
958-prefLabel,Refugee organisations
959-altLabel,Religious organizations
959-prefLabel,Religious organisations
960-prefLabel,Research institutes
961-altLabel,Resistance organizations
961-prefLabel,Resistance organisations
962-altLabel,Socialist movements and organizations
962-prefLabel,Socialist movements and organisations
963-altLabel,Sports organizations
963-prefLabel,Sports organisations
964-prefLabel,Students organisations
965-prefLabel,Survivors organisations
966-prefLabel,Women's organisations
967-altLabel,Youth movements and organizations
967-altLabel,Youth movements. Youth organizations
967-prefLabel,Youth movements and organisations
968-prefLabel,Pamphlets
969-prefLabel,Papal encyclicals
970-prefLabel,Papal nuncios
971-prefLabel,Priests
974-altLabel,Partisan organizations
974-altLabel,Partisans organizations
974-prefLabel,Partisans organisations
976-prefLabel,Passports
977-prefLabel,Policemen
978-prefLabel,Professionals
979-prefLabel,Public figures
980-altLabel,Religious Society of Friends
980-prefLabel,Quakers
981-altLabel,Rescuers and rescue assistants
981-prefLabel,Rescuers
982-prefLabel,Smugglers
983-altLabel,Refers to the time before WW II
983-prefLabel,Prewar period
984-prefLabel,Wartime period
985-prefLabel,Weimar republic
986-prefLabel,Ss men
987-prefLabel,Persecution of christians of Jewish origin
988-prefLabel,Social separation and isolation
989-altLabel,Sterilization
989-prefLabel,Sterilisation
990-prefLabel,Persecution of jews - plans
991-altLabel,Burning of synagogues
991-prefLabel,Synagogue burning
992-altLabel,Desecration of synagogues
992-prefLabel,Synagogues desecration
993-prefLabel,Transit certificates
994-prefLabel,Photographers
995-prefLabel,Photography
996-prefLabel,Photographies (?)
999-altLabel,Riots
999-prefLabel,Pogroms and riots
1001-prefLabel,Police supervision
1002-prefLabel,Political police
1003-altLabel,Polizeifuehrer
1003-prefLabel,Polizeiführer
1004-altLabel,Polizeipraesidium
1004-prefLabel,Polizeipräsidium
1005-altLabel,Polizei Regiment
1005-prefLabel,Polizeiregiment
1006-prefLabel,Protests
1007-altLabel,Political organizations
1007-prefLabel,Political organisations
1008-prefLabel,Socialist parties
1010-prefLabel,Political parties
1013-prefLabel,Prime ministers
1017-prefLabel,Registration
1018-prefLabel,Settlements
1019-prefLabel,Settlement of germans
1020-prefLabel,Repatriation
1023-prefLabel,Prayers
1025-prefLabel,Pro-Nazi propaganda
1029-altLabel,Rassenschande
1029-prefLabel,Racial defilement
1031-prefLabel,Volljuden
1032-prefLabel,Radio broadcasts
1033-prefLabel,Rape
1034-prefLabel,Refugee camps
1042-prefLabel,Religious objects
1048-prefLabel,Righteous among the nations
1049-prefLabel,Sabotage
1050-altLabel,Not subway or metro
1050-prefLabel,Underground
1053-altLabel,Underground organizations
1053-prefLabel,Underground organisations
1054-prefLabel,Suicides
1060-prefLabel,Smuggling
1061-prefLabel,Shearing of beards
1064-altLabel,Sippenaemter
1064-prefLabel,Sippenämter
1077-prefLabel,Trains
1079-altLabel,Clandestine press
1079-prefLabel,Underground press
1081-prefLabel,Academic faculty
1082-altLabel,Suppression of an uprising by non Jews
1082-prefLabel,Uprising suppression
1083-prefLabel,Vocational training institutions
1085-prefLabel,Workplaces
